Jahr;Zuzug;Fortzug;Asylsuchenden
2019;1345943;961258;142509
2018;1383581;923581;161931
2017;1384018;885460;198317
2016;1719075;1083767;722370
2015;2016241;859279;441899
2014;1342529;765605;173072
2013;1108068;657604;109580
2012;965908;578759;64539
2011;841695;538837;45741
2010;683530;529605;41332
2009;606314;578808;27649
2008;573815;563130;22085
2007;574752;475749;19164
2006;558467;483774;21029
2005;579301;483584;28914
2004;602182;546965;35607
2003;601759;499063;50563
2002;658341;505572;71127
2001;685259;496987;88287
2000;649249;562794;78564
1999;673873;555638;95113
1998;605500;638955;98644
1997;615298;637066;104353
1996;707954;559064;116367
1995;792701;567441;127937
1994;777516;629275;127210
1993;989847;710659;322599
1992;1211350;614956;438191
1991;925345;497540;256112
